1 | Slavsky, David Bruce | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1984 |
2 | Ganguli, Bishwajit | UNIVERSITY OF PITTSBURGH. | 1984 |
3 | Szymkowiak, Andrew Edward | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1984 |
4 | Sackville Hamilton, Andrew James | UNIVERSITY OF VIRGINIA. | 1984 |
5 | Cannizzo, John Kendall | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1984 |
6 | Buta, Ronald James | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1984 |
7 | Kulkarni, Shrinivas Ramchandra | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 |
8 | Landsman, Wayne Brian | THE JOHNS HOPKINS UNIVERSITY. | 1984 |
9 | Mozurkewich, David | UNIVERSITY OF WYOMING. | 1984 |
10 | Kinney, Anne Louise | NEW YORK UNIVERSITY. | 1984 |
11 | Lepp, Stephen Henry | UNIVERSITY OF COLORADO AT BOULDER. | 1984 |
12 | Perko, John Steven | UNIVERSITY OF NEW HAMPSHIRE. | 1984 |
13 | Vilas, Faith | THE UNIVERSITY OF ARIZONA. | 1984 |
14 | Berger, Mitchell Anthony | HARVARD UNIVERSITY. | 1984 |
15 | Clifford, Stephen Mark | UNIVERSITY OF MASSACHUSETTS. | 1984 |
16 | Hoeksema, Jon Todd | STANFORD UNIVERSITY. | 1984 |
17 | Traschen, J. | Harvard University, Cambridge, MA. | 1984 |
18 | Karshner, Gary Buchanan | UNIVERSITY OF OREGON. | 1984 |
19 | Logan, Jerry David | THE UNIVERSITY OF ARIZONA. | 1984 |
20 | Skinner, T. E. | Johns Hopkins Univ., Baltimore, MD. | 1984 |
21 | Turner, Jean Lewin | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 |
22 | Hartke, Gregory James | UNIVERSITY OF MASSACHUSETTS. | 1984 |
23 | Neukum, G. | National Aeronautics and Space Administration, Washington, DC. | 1984 |
24 | Friedman, Scott David | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 |
25 | Pisarski, R. L. | Columbia Univ., New York, NY. | 1984 |
26 | Schwartz, Richard Alan | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 |
27 | Tramiel, Leonard Jacob | COLUMBIA UNIVERSITY. | 1984 |
28 | Vanajakshi, Chandrasekharan Tiruvannamalai | NORTH CAROLINA STATE UNIVERSITY. | 1984 |
29 | Batchelor, David Allen | THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL. | 1984 |
30 | Carlson, B. E. | State University of New York, Stony Brook. | 1984 |
31 | Dahari, Oved Avi | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1984 |
32 | Fisher, George Hewitt | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1984 |
33 | Ganguli, B. | Pittsburgh Univ., PA. | 1984 |
34 | Nemec, J. M. | Washington Univ., Seattle. | 1984 |
35 | Porter, Jason Garth | UNIVERSITY OF COLORADO AT BOULDER. | 1984 |
36 | Rasmussen, C. E. | Utah State University, Logan. | 1984 |
37 | Saha, Abhijit | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1984 |
38 | Tholen, David James | THE UNIVERSITY OF ARIZONA. | 1984 |
39 | Cruz-Gonzalez, Irene | HARVARD UNIVERSITY. | 1984 |
40 | Downes, Ronald Alan | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1984 |
41 | Finman, Lorna Campbell | STANFORD UNIVERSITY. | 1984 |
42 | Garvin, J. B. | Brown Univ., Providence, RI. | 1984 |
43 | Hill, John Milton | THE UNIVERSITY OF ARIZONA. | 1984 |
44 | Andrews, Michael D. | IOWA STATE UNIVERSITY. | 1984 |
45 | Barvainis, R. E. | Massachusetts Univ., Amherst. | 1984 |
46 | Vartanian, Michael Haig | COLUMBIA UNIVERSITY. | 1984 |
47 | Weiland, Janet Leigh | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1984 |
48 | Saber, Moustafa Khalil | INDIANA UNIVERSITY. | 1984 |
49 | Brophy, Chris P. | THE UNIVERSITY OF ROCHESTER. | 1984 |
50 | Belt, Carol Lynn | SAINT LOUIS UNIVERSITY. | 1984 |
51 | Schattenburg, Mark Lee | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1984 |
52 | Schweizer, Linda Younker | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 |
53 | Magnuson, Jon Allan | DARTMOUTH COLLEGE. | 1984 |
54 | Redmount, Ian H. | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1984 |
55 | Thomsen, John Marshall | MICHIGAN STATE UNIVERSITY. | 1984 |
56 | Sadun, Alberto Carlo | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1984 |
57 | Stuhlinger, Tilman Werner | THE UNIVERSITY OF ARIZONA. | 1984 |
58 | Weinberg, Martin Drew | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1984 |
59 | MacDonald, Douglas Alan | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1984 |
60 | Nolthenius, Richard Alan | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1984 |
61 | Price, Jill Suzanne | UNIVERSITY OF WYOMING. | 1984 |
62 | Rumstay, Kenneth Scott | THE OHIO STATE UNIVERSITY. | 1984 |
63 | Thompson, William Reid | CORNELL UNIVERSITY. | 1984 |
64 | Ambruster, Carol Winifred | UNIVERSITY OF PENNSYLVANIA. | 1984 |
65 | Fitzpatrick, Edward Luke | THE UNIVERSITY OF WISCONSIN - MADISON. | 1984 |
66 | Gunkler, Todd Alan | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1984 |
67 | Siah, Javad | UNIVERSITY OF PENNSYLVANIA. | 1984 |
68 | Terebey, Susan | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 |
69 | Carroll, Timothy John | UNIVERSITY OF MASSACHUSETTS. | 1984 |
70 | Dewey, Rachel J. | PRINCETON UNIVERSITY. | 1984 |
71 | Eisenhardt, Peter Ronald Manuel | THE UNIVERSITY OF ARIZONA. | 1984 |
72 | Smith, S. E. | Toledo Univ., OH. | 1984 |
73 | Hinson, D. P. | Stanford Univ., CA. | 1984 |
74 | Kornacki, A. S. | Harvard University, Cambridge, MA. | 1984 |
75 | Lacasse, Marc George | THE UNIVERSITY OF ROCHESTER. | 1984 |
76 | Hodges, Mark Warren | THE UNIVERSITY OF IOWA. | 1984 |
77 | Kulkarni, Anil Dattatray | Mathematics Department, University of Illinois | 1984 |
78 | Lecompte, Malcolm Aaron | UNIVERSITY OF COLORADO AT BOULDER. | 1984 |
79 | Randel, William John | IOWA STATE UNIVERSITY. | 1984 |
80 | Bloemhof, Eric Edward | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 |
81 | Castelaz, Michael William | UNIVERSITY OF WYOMING. | 1984 |
82 | Dermer, Charles Dennison | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1984 |
83 | Barden, Samuel Charles | THE PENNSYLVANIA STATE UNIVERSITY. | 1984 |
84 | Thompson, Christopher John Campbell | THE UNIVERSITY OF ARIZONA. | 1984 |
85 | Wang, Bin | THE FLORIDA STATE UNIVERSITY. | 1984 |
86 | Serabyn, Eugene | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 |
87 | Hughes, John Patrick | COLUMBIA UNIVERSITY. | 1984 |
88 | Kang, I. S. | Oregon State University, Corvallis. | 1984 |
89 | Filippenko, Alexei Vladimir | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1984 |
90 | Schombert, James Moeller | YALE UNIVERSITY. | 1984 |
91 | Hereld, M. | California Institute of Technology, Pasadena. | 1984 |
92 | Sackvillehamilton, A. J. | Virginia Univ., Charlottesville. | 1984 |
93 | Schmitt, Jurgen Harry Max Michael | HARVARD UNIVERSITY. | 1984 |
94 | Tariq, Gul Feroze | UNIVERSITY OF KANSAS. | 1984 |
95 | Buie, Marc William | THE UNIVERSITY OF ARIZONA. | 1984 |
96 | Campbell, Belva Geneva Stroud | THE UNIVERSITY OF ARIZONA. | 1984 |
97 | Hawley, John Frederick | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN. | 1984 |
98 | Arion, Douglas Norman | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1984 |
99 | Moore, T. E. | Stanford Univ., CA. | 1984 |
100 | Steiman-Cameron, Thomas Yoshiahu | INDIANA UNIVERSITY. | 1984 |
101 | Tennyson, Peter Donald | THE JOHNS HOPKINS UNIVERSITY. | 1984 |
102 | Urry, Claudia Megan | THE JOHNS HOPKINS UNIVERSITY. | 1984 |
103 | Vladimir, F. A. | California Institute of Technology, Pasadena. | 1984 |
104 | Wagner, R. M. | Ohio State University, Columbus. | 1984 |
105 | Crisp, D. | Princeton Univ., NJ. | 1984 |
106 | Epstein, Gerald Lewis | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 |
107 | Lichten, Stephen Morris | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1984 |
108 | Cheng, Kwong-Sang | COLUMBIA UNIVERSITY. | 1984 |
109 | Oliveira Filho, Kepler De Souza | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1984 |
110 | Preston, Howard Glenn | UNIVERSITY OF CALIFORNIA, IRVINE. | 1984 |
111 | Barnard, John Juil | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 |
112 | Hargrave, Alan Dee | BAYLOR UNIVERSITY. | 1984 |
113 | Mohanty, Ajaya K. | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1984 |
114 | Hinson, David P. | STANFORD UNIVERSITY. | 1984 |
115 | Colman, Bradley Roy | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1984 |
116 | McArthur, Lorne John Bruce | MCMASTER UNIVERSITY (CANADA). | 1984 |
117 | Cebula, Richard Paul | THE JOHNS HOPKINS UNIVERSITY. | 1984 |
118 | Heidbrink, William Walter | PRINCETON UNIVERSITY. | 1984 |
119 | Brewster, Nancy Ridolfi | UNIVERSITY OF MINNESOTA. | 1984 |
120 | Chiang, Wei-Hwan | COLUMBIA UNIVERSITY. | 1984 |
121 | Ho, Cheng | COLUMBIA UNIVERSITY. | 1984 |
122 | Hermann, Mark Robert | INDIANA UNIVERSITY. | 1984 |
123 | Crisp, David | PRINCETON UNIVERSITY. | 1984 |
124 | Lipton, Gary Bruce | THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL. | 1984 |
125 | Leach, John | STANFORD UNIVERSITY. | 1984 |
126 | Babcock, Alice Kay | UNIVERSITY OF VIRGINIA. | 1984 |
127 | Pan, Shing-Kuo | COLUMBIA UNIVERSITY. | 1984 |
128 | Mundy, Lee George | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1984 |
129 | Milutinovic, Janko | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1984 |
130 | Meyer, David Michael | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1984 |
131 | Woodard, Martin Frederic | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1984 |
132 | Skillman, E. D. | Washington Univ., Seattle. | 1984 |
133 | Belt, C. L. | Saint Louis Univ., MO. | 1984 |
134 | Libbrecht, Kenneth George | PRINCETON UNIVERSITY. | 1984 |
135 | Froidevaux, Lucien | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1984 |
136 | Kare, Jordin T. | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 |
137 | Arquilla, Richard | UNIVERSITY OF MASSACHUSETTS. | 1984 |
138 | Bertschinger, Edmund William | PRINCETON UNIVERSITY. | 1984 |
139 | Gwinn, C. R. | Princeton Univ., NJ. | 1984 |
140 | Kim, Chulhee | BRIGHAM YOUNG UNIVERSITY. | 1984 |
141 | Schiano, Allen Vincent Rogers | THE UNIVERSITY OF ARIZONA. | 1984 |
142 | Choe, S. U. | Minnesota Univ., Minneapolis. | 1984 |
143 | Doiron, David John | THE UNIVERSITY OF IOWA. | 1984 |
144 | Evans, C. R., II | Texas Univ., Austin. | 1984 |
145 | Filice, Joseph Peter | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1984 |
146 | Long, Jess Lawrence | UNIVERSITY OF CALIFORNIA, RIVERSIDE. | 1984 |
147 | Myers, R. V. | Wisconsin Univ., Madison. | 1984 |
148 | Vincent, Mark Alexander | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1984 |
149 | Whipple, Arthur Lester | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1984 |
150 | Zimbelman, J. R. | Arizona State University, Tempe. | 1984 |
151 | Ball, John Roger | UNIVERSITY OF FLORIDA. | 1984 |
152 | Haddock, Thomas Frederick | THE UNIVERSITY OF MICHIGAN. | 1984 |
153 | Barnes, Joshua Edward | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 |
154 | Carlson, Barbara Elizabeth | STATE UNIVERSITY OF NEW YORK AT STONY BROOK. | 1984 |
