1 | Glenar, D. A. | National Aeronautics and Space Administration. Goddard Space Flight Center, Greenbelt, MD. | 1981 |
2 | Bridger, Alison Frances Colvill | COLORADO STATE UNIVERSITY. | 1981 |
3 | Bragg, Susan Lynn | WASHINGTON UNIVERSITY. | 1981 |
4 | Lockhart, Clayton Matthew | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1981 |
5 | Sills, Robert Marc | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1981 |
6 | Schmidtke, Paul Charles | THE OHIO STATE UNIVERSITY. | 1981 |
7 | Stryker, Linda Lee | Yale University. | 1981 |
9 | Stauffer, John Richard | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1981 |
10 | Struck-Marcell, Curtis John | Yale University. | 1981 |
11 | Lupo, Jasper Charles | GEORGETOWN UNIVERSITY. | 1981 |
12 | Hansen, Anthony Regis | IOWA STATE UNIVERSITY. | 1981 |
13 | Ballenthin, John Otto | UNIVERSITY OF MINNESOTA. | 1981 |
14 | Chang, Lang-Ping | IOWA STATE UNIVERSITY. | 1981 |
15 | Tennant, A. F. | National Aeronautics and Space Administration. Goddard Space Flight Center, Greenbelt, MD. | 1981 |
16 | Suttles, J. T. | Old Dominion Univ., Norfolk, VA. | 1981 |
17 | Cottrell, Matthew James | THE UNIVERSITY OF TOLEDO. | 1981 |
18 | Haese, Nathan Norman | THE UNIVERSITY OF WISCONSIN - MADISON. | 1981 |
19 | Hou, Arthur Yuhan | HARVARD UNIVERSITY. | 1981 |
20 | Brin, Glen David | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1981 |
21 | Mason, Stephen Freeman | UNIVERSITY OF WYOMING. | 1981 |
22 | Mauger, Bradley Grant | NEW MEXICO STATE UNIVERSITY. | 1981 |
23 | Caton, Daniel Bruce | UNIVERSITY OF FLORIDA. | 1981 |
24 | Backus, Peter Robert | UNIVERSITY OF MASSACHUSETTS. | 1981 |
25 | Hartkopf, William Irving | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN. | 1981 |
26 | Madonna, Richard Gerard | STEVENS INSTITUTE OF TECHNOLOGY. | 1981 |
27 | Brasunas, John Charles, Jr. | HARVARD UNIVERSITY. | 1981 |
28 | Keyes, Charles Dayton | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1981 |
29 | Corbin, James David | BAYLOR UNIVERSITY. | 1981 |
30 | Haberle, Robert Michael | UNIVERSITY OF WASHINGTON. | 1981 |
31 | Miller, Glenn Edward | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1981 |
32 | Kaitchuck, Ronald Harold | INDIANA UNIVERSITY. | 1981 |
33 | Hunter, Robert Olin, Jr. | UNIVERSITY OF CALIFORNIA, IRVINE. | 1981 |
34 | Chu, You-Hua | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1981 |
35 | Ballintine, James Elmer | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1981 |
36 | Chappell, Jon H. | UNIVERSITY OF NEW HAMPSHIRE. | 1981 |
37 | Kurtz, Russell Carrol | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1981 |
38 | Wobus, Richard Lee | THE UNIVERSITY OF WISCONSIN - MADISON. | 1981 |
39 | Balbus, Steven Andrew | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1981 |
40 | Keyser, Daniel | THE PENNSYLVANIA STATE UNIVERSITY. | 1981 |
41 | Williams, Earle Rolfe | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1981 |
42 | Koo, David Chih-Yuen | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1981 |
43 | Barshay, Stephen Saul | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1981 |
44 | Hill, Jay Roderick | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1981 |
45 | Buxton, Richard Bruce | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1981 |
46 | Rothman, Anthony Randall | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1981 |
47 | Wallace, Richard Kent | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1981 |
