n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
315 | Currie, Thayne Michael | University of California, Los Angeles | 2008 | male | 8 | 23 | 2017 | 10 | 82 | 2017 | 0 | 0 | 1 | 0 | 4 | 3 | 4 | 2 | 4 | 3 | 2 | 4 | 2 | 1 |  0 | 1 | 1 | 0 | 4 | 4 | 6 | 2 | 6 | 9 | 13 | 17 | 12 | 10 |
316 | Knight, Matthew Manning | University of Maryland, College Park | 2008 | male | 3 | 13 | 2016 | 9 | 28 | 2016 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 4 | 2 | 1 | 2 | 1 | 2 | 1 |  0 | 0 | 3 | 0 | 3 | 3 | 0 | 4 | 3 | 2 | 6 | 2 | 6 | 5 |
317 | Lee, Young Sun | Michigan State University | 2008 | male | 5 | 8 | 2017 | 22 | 98 | 2017 | 0 | 0 | 0 | 1 | 1 | 3 | 0 | 1 | 2 | 0 | 2 | 1 | 1 | 0 |  1 | 1 | 0 | 4 | 6 | 10 | 9 | 8 | 18 | 11 | 5 | 15 | 15 | 10 |
318 | Mazarico, Erwan | Massachusetts Institute of Technology | 2008 | male | 4 | 7 | 2015 | 5 | 57 | 2017 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 1 | 1 | 0 | 2 | 1 | 0 |  0 | 0 | 0 | 0 | 3 | 2 | 2 | 5 | 3 | 10 | 6 | 8 | 7 | 9 |
319 | Sizemore, Hanna Gail | University of Colorado at Boulder | 2008 | female | 3 | 3 | 2015 | 5 | 10 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 0 | 4 | 4 | 2 | 0 | 0 | 0 | 0 | 1 | 2 |
320 | Tannirkulam, Ajay-Kumar M. | University of Michigan | 2008 | male | 4 | 0 | 2008 | 7 | 2 | 2011 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 4 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
321 | Walkowicz, Lucianne M. | University of Washington | 2008 | female | 3 | 5 | 2015 | 15 | 28 | 2016 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 2 | 0 | 1 | 0 |  2 | 3 | 3 | 2 | 2 | 3 | 1 | 5 | 7 | 2 | 7 | 1 | 2 | 3 |
322 | Battat, James Benjamin Royston | Harvard University | 2008 | male | 4 | 6 | 2017 | 8 | 13 | 2017 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 |  0 | 3 | 1 | 0 | 1 | 3 | 1 | 2 | 2 | 2 | 0 | 1 | 1 | 2 |
323 | Stabenau, Hans Friedrich | University of Pennsylvania | 2008 | male | 3 | 0 | 2008 | 3 | 3 | 2010 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |
324 | Bauer, Anna Hollister | Yale University | 2008 | female | 1 | 0 | 2008 | 7 | 25 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 2 | 2 | 0 | 1 | 1 | 2 | 0 | 0 | 9 | 12 |
