1 | Dingus, Brenda Lynn | Los Alamos National Lab., NM. | 1988 |
2 | Hinshaw, Gary Freeman | Harvard University, Cambridge, MA. | 1988 |
3 | Grimm, Robert E. | Massachusetts Institute of Technology, Cambridge. | 1988 |
4 | Pontius, Duane Henry, Jr. | RICE UNIVERSITY. | 1988 |
5 | Lienhard, John Henry, V. | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1988 |
6 | Guzik, Joyce Ann | IOWA STATE UNIVERSITY. | 1988 |
7 | Lesser, Michael Patrick | THE UNIVERSITY OF ARIZONA. | 1988 |
8 | Murison, Marc Allen | THE UNIVERSITY OF WISCONSIN - MADISON. | 1988 |
9 | Wu, Ying-Cheng | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1988 |
10 | Aghanajafi, Cyrus | THE UNIVERSITY OF TENNESSEE. | 1988 |
11 | Bain, Rodney Donald | Colorado Univ., Boulder. | 1988 |
12 | Guessoum, Nidhal | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1988 |
13 | Gould, Andrew Philip | STANFORD UNIVERSITY. | 1988 |
14 | Kruper, John Steven | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1988 |
15 | Preisig, Joseph Richard Mark | STATE UNIVERSITY OF NEW YORK AT BINGHAMTON. | 1988 |
16 | Peng, Huei | UNIVERSITY OF ALABAMA IN HUNTSVILLE. | 1988 |
17 | Langston, Glen Irvin | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1988 |
18 | Lin, Ray-Qing | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1988 |
19 | Tobiska, William Kent | UNIVERSITY OF COLORADO AT BOULDER. | 1988 |
20 | Siskind, David Eric | UNIVERSITY OF COLORADO AT BOULDER. | 1988 |
21 | Selesnick, Richard Simon | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1988 |
22 | Helvensteijn, Bernardus Philippus Maria | THE UNIVERSITY OF WISCONSIN - MADISON. | 1988 |
23 | Appell, David Allen | STATE UNIVERSITY OF NEW YORK AT STONY BROOK. | 1988 |
24 | Chen, Yuan-Liang Albert | BAYLOR UNIVERSITY. | 1988 |
25 | Towe, Joe Patrick | THE UNIVERSITY OF ARIZONA. | 1988 |
26 | Dodelson, Scott | COLUMBIA UNIVERSITY. | 1988 |
27 | McCarthy, Patrick Joseph | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1988 |
28 | Suh, Kyung-Won | UNIVERSITY OF MINNESOTA. | 1988 |
29 | Kluzniak, Wlodzimierz | STANFORD UNIVERSITY. | 1988 |
30 | Liffman, Kurt | RICE UNIVERSITY. | 1988 |
31 | Magee-Sauer, Karen Patricia | THE UNIVERSITY OF WISCONSIN - MADISON. | 1988 |
32 | Buss, Richard H., Jr. | UNIVERSITY OF COLORADO AT BOULDER. | 1988 |
33 | Karimabadi, Homayoun | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1988 |
34 | Iredell, Mark Douglas | Washington Univ., Seattle. | 1988 |
35 | Jones, Thomas David | THE UNIVERSITY OF ARIZONA. | 1988 |
36 | Tobiska, William Kent | Colorado Univ., Boulder. | 1988 |
37 | Pazameta, Zoran | STATE UNIVERSITY OF NEW YORK AT BUFFALO. | 1988 |
38 | Webb, James Raymond | UNIVERSITY OF FLORIDA. | 1988 |
39 | Chang, Tsuey-Fen | California Univ., Riverside. | 1988 |
40 | Elston, Richard Joseph | THE UNIVERSITY OF ARIZONA. | 1988 |
41 | Hine, Butler Preston Anderson, III | Texas Univ., Austin. | 1988 |
42 | Ryu, Dongsu | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1988 |
43 | Sterling, Alphonse Christopher | UNIVERSITY OF NEW HAMPSHIRE. | 1988 |
44 | Tacconi-Garman, Linda Jean | UNIVERSITY OF MASSACHUSETTS. | 1988 |
45 | Veeraraghavan, Shoba | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1988 |
46 | Wood, Douglas Owen Starkey | THE UNIVERSITY OF WISCONSIN - MADISON. | 1988 |
47 | Xiao, Yingcai | UNIVERSITY OF ALABAMA IN HUNTSVILLE. | 1988 |
48 | Brooke, Timothy Young | STATE UNIVERSITY OF NEW YORK AT STONY BROOK. | 1988 |
49 | Light, Robert Miles | YALE UNIVERSITY. | 1988 |
50 | Mobarry, Clark Matthew | CORNELL UNIVERSITY. | 1988 |
51 | Iredell, Mark Douglas | UNIVERSITY OF WASHINGTON. | 1988 |
52 | McGrath, Melissa Ann | UNIVERSITY OF VIRGINIA. | 1988 |
53 | Pogge, Richard William | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1988 |
54 | Surowitz, Eugene Joseph | NEW YORK UNIVERSITY. | 1988 |
55 | Bhat, Maharaj Krishen | Tennessee Univ., Knoxville. | 1988 |
56 | Escalante Ramirez, Vladimir | Harvard University, Cambridge, MA. | 1988 |
57 | Gilroy, Kalpana Krishnaswamy | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1988 |
58 | Hatzes, Artie Peter | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1988 |
59 | Pendleton, Geoffrey Nelson | CASE WESTERN RESERVE UNIVERSITY. | 1988 |
60 | Kang, Hyesung | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1988 |
61 | Lowder, Douglas Maynard | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1988 |
62 | Connell, James Joseph | WASHINGTON UNIVERSITY. | 1988 |
63 | El-Agamawi, Mohsen Mohamed | Pittsburgh Univ., PA. | 1988 |
64 | Flammer, Karen Ruth | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1988 |
65 | Edgar, Bruce Kevin | UNIVERSITY OF MINNESOTA. | 1988 |
66 | Finley, David Starr | California Univ., Berkeley. | 1988 |
67 | McCandliss, Stephan Robert | UNIVERSITY OF COLORADO AT BOULDER. | 1988 |
68 | Olson, David Paul | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN. | 1988 |
69 | Hyde, Truell Wayne, II | BAYLOR UNIVERSITY. | 1988 |
70 | Connors, Alanna | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1988 |
71 | Ewell, Malcolm Webster, Jr. | PRINCETON UNIVERSITY. | 1988 |
72 | Fleming, Thomas Anthony | THE UNIVERSITY OF ARIZONA. | 1988 |
73 | Seidel, H. Edward | YALE UNIVERSITY. | 1988 |
74 | Goodrich, Robert W. | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1988 |
75 | Cheng, Minkang | Texas Univ., Austin. | 1988 |
76 | Abrahams, Andrew M. | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN. | 1988 |
77 | Bixler, Jay Virgil | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1988 |
