1 | Heiderman, Amanda Lea | University of Texas | 2012 |
2 | Gettel, Sara | The Pennsylvania State University | 2012 |
3 | Chatzikos, Marios | University of Virginia | 2012 |
4 | Hamper, Randall T. | Indiana University | 2012 |
5 | Donnelly, William | University of Maryland, College Park | 2012 |
6 | Meschiari, Stefano | University of California, Santa Cruz | 2012 |
7 | Guo, Fan | University of Arizona | 2012 |
8 | Kukuyeva, Irina A. | University of California, Los Angeles | 2012 |
9 | Rimmer, Paul Brandon | The Ohio State University | 2012 |
10 | Williams, G. V. | Smithsonian Astrophysical Observatory | 2012 |
11 | Olmez, Serkay | University of Minnesota | 2012 |
12 | Gugliucci, Nicole E. | University of Virginia | 2012 |
13 | McNally, Colin P. | Columbia University / American Museum of Natural History | 2012 |
14 | Shi, Xiaoyu | University of California, Davis | 2012 |
15 | Mitryk, Shawn J. | University of Florida | 2012 |
16 | Moore, David Craig | California Institute of Technology | 2012 |
17 | Matejek, Michael Scott | Massachusetts Institute of Technology | 2012 |
18 | McEnulty, Tess Rose | University of California, Berkeley | 2012 |
19 | Hainline, Kevin Nicholas | University of California, Los Angeles | 2012 |
20 | Capellupo, Daniel Moshin | University of Florida | 2012 |
21 | Meier, Mariel Jene | University of Colorado at Boulder | 2012 |
22 | Manungu Kiveni, Joseph | Syracuse University | 2012 |
23 | Mancone, Conor L. | University of Florida | 2012 |
24 | Campiglia, Miguel | The Pennsylvania State University | 2012 |
25 | Spivak-Birndorf, Lev | Arizona State University | 2012 |
26 | Soto, Kurt Thomas | University of California, Santa Barbara | 2012 |
27 | Mumpower, Matthew Ryan | North Carolina State University | 2012 |
28 | Huan, Hao | The University of Chicago | 2012 |
29 | Tao, Jianbao | University of Colorado at Boulder | 2012 |
30 | O'Malley, Patrick D. | Rutgers The State University of New Jersey - New Brunswick | 2012 |
31 | Aune, Taylor | University of California, Santa Cruz | 2012 |
32 | Joudaki, Shahab | University of California, Irvine | 2012 |
33 | Gardner-Vandy, Kathryn Gail | The University of Arizona | 2012 |
34 | Heemskerk, Idse J. | University of California, Santa Barbara | 2012 |
35 | Niederhausen, Hans | State University of New York at Stony Brook | 2012 |
36 | Gastler, Daniel E. | Boston University | 2012 |
37 | Roustazadeh Sheikhyousefi, Parisa | Ohio University | 2012 |
38 | Orth, Christopher P. | Washington University in St. Louis | 2012 |
39 | Nigra, Lou Michael | The University of Wisconsin - Madison | 2012 |
40 | Whitehorn, Nathan | The University of Wisconsin - Madison | 2012 |
41 | Krause, Anna Elisabeth | California Institute of Technology | 2012 |
42 | Riedel, Adric Richard | Georgia State University | 2012 |
43 | Richards, Joseph Lee | California Institute of Technology | 2012 |
44 | Ivanov, Dmitri | Rutgers The State University of New Jersey - New Brunswick | 2012 |
45 | Johannsen, Tim | The University of Arizona | 2012 |
46 | Gray, William James | Arizona State University | 2012 |
47 | Lesniak, Michael V., III | Arizona State University | 2012 |
48 | Ries, Paul A. | University of Virginia | 2012 |
49 | Jacobson, Seth A. | University of Colorado at Boulder | 2012 |
50 | Anderson, Ryan | Cornell University | 2012 |
51 | Yang, Abel Jiahui | University of Virginia | 2012 |
52 | Edwards, Christopher | Arizona State University | 2012 |
53 | Van Schelt, Jonathon A. | The University of Chicago | 2012 |
54 | Petrov, Yevgeniy | Colorado State University | 2012 |
55 | Acevedo-Arreguin, Luis Antonio | University of California, Santa Cruz | 2012 |
56 | Tollerud, Erik Jon | University of California, Irvine | 2012 |
57 | Rivera-Valentin, Edgard G. | University of Arkansas | 2012 |
58 | Yuan, Tiantian | University of Hawai'i at Manoa | 2012 |
59 | Batygin, Konstantin | California Institute of Technology | 2012 |
60 | Hinkel, Natalie R. | Arizona State University | 2012 |
61 | Pagnotta, Ashley | Louisiana State University | 2012 |
62 | Bhalerao, Varun | Caltech | 2012 |
63 | Colaninno, Robin C. | George Mason University | 2012 |
64 | Cody, Ann Marie | California Institute of Technology | 2012 |
65 | Raymond, Vivien | Northwestern University | 2012 |
66 | Friedman, Andrew Samuel | Harvard University | 2012 |
67 | Richardson, Noel D. | Center for High Angular Resolution Astronomy, Georgia State University | 2012 |
68 | Motta, Leonardo | Dartmouth College | 2012 |
69 | San Roman, Izaskun | University of Florida | 2012 |
70 | Meyer, Eileen T. | Rice University | 2012 |
71 | Rimmer, Paul B. | Ohio State University | 2012 |
72 | Whitehouse, Matthew Robert | The University of Arizona | 2012 |
73 | Anilmis, Nurdan | University of Delaware | 2012 |
74 | Dolch, Timothy | The Johns Hopkins University | 2012 |
75 | Aver, Erik | University of Minnesota | 2012 |
76 | Matuszewski, Mateusz Konrad | California Institute of Technology | 2012 |
77 | Farris, Brian D. | University of Illinois at Urbana-Champaign | 2012 |
78 | Glesener, Lindsay Erin | University of California, Berkeley | 2012 |
79 | Sharma, Priyanka | The University of Arizona | 2012 |
80 | Blecha, Laura Elizabeth | Harvard University | 2012 |
