1 | Rettig, Terrence William Raymond | INDIANA UNIVERSITY. | 1976 |
2 | Sherrill, R. D. | Arkansas Univ., Fayetteville. | 1976 |
3 | Kaufman, John Jay | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1976 |
4 | Magelssen, Glenn Ronald | UNIVERSITY OF COLORADO AT BOULDER. | 1976 |
5 | Hatchett, Stephen Pinckney, II | UNIVERSITY OF COLORADO AT BOULDER. | 1976 |
6 | Prather, Michael John | YALE UNIVERSITY. | 1976 |
7 | Weitenbeck, Anthony James | CASE WESTERN RESERVE UNIVERSITY. | 1976 |
8 | Benson, J. L. | Rice Univ., Houston, TX. | 1976 |
9 | Cowan, John James | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1976 |
10 | Desch, Michael Daniel | UNIVERSITY OF FLORIDA. | 1976 |
11 | Barber, H. B. | Arizona Univ., Tucson. | 1976 |
12 | Pulliam, Donald Morris | THE UNIVERSITY OF WISCONSIN - MADISON. | 1976 |
13 | Ratner, Michael Ira | UNIVERSITY OF COLORADO AT BOULDER. | 1976 |
14 | Shirkey, Richard Charles, Jr. | STATE UNIVERSITY OF NEW YORK AT ALBANY. | 1976 |
15 | Weiler, Edward John | NORTHWESTERN UNIVERSITY. | 1976 |
16 | Capps, Richard Warren | THE UNIVERSITY OF ARIZONA. | 1976 |
17 | Davies, R. | Wisconsin Univ., Madison. | 1976 |
18 | Hoffman, Alan Wayne | PRINCETON UNIVERSITY. | 1976 |
19 | Ingham, William Herbert | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1976 |
20 | Koski, Alan Thomas | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1976 |
21 | Hardy, D. A. | Rice Univ., Houston, TX. | 1976 |
22 | Kim, Yong Hak | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1976 |
23 | Middleditch, John | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1976 |
24 | Witta, P. J. | Princeton Univ., NJ. | 1976 |
25 | Burstein, Paul Harris | THE UNIVERSITY OF WISCONSIN - MADISON. | 1976 |
26 | Chui, Michael Fan Ming | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1976 |
27 | Dressler, Alan Michael | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1976 |
28 | Ramsey, Lawrence William | INDIANA UNIVERSITY. | 1976 |
29 | Stein, William Lee | INDIANA UNIVERSITY. | 1976 |
30 | Walraven, George David | RICE UNIVERSITY. | 1976 |
31 | Hutton, Laura Katherine | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1976 |
32 | Dube, Roger Raymond | PRINCETON UNIVERSITY. | 1976 |
33 | Hardy, Eduardo Julio | INDIANA UNIVERSITY. | 1976 |
34 | Bild, R. W. | California Univ., Los Angeles. | 1976 |
35 | Cannon, Angus Robert | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1976 |
36 | Doughty, John Richard | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN. | 1976 |
37 | Wheaton, William Ashley | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1976 |
38 | MacFall, J. R. | Maryland Univ., College Park. | 1976 |
39 | Relyea, Lawrence John | STATE UNIVERSITY OF NEW YORK AT ALBANY. | 1976 |
40 | Stromswold, D. C. | Johns Hopkins Univ., Baltimore, MD. | 1976 |
41 | Petro, Larry David | THE UNIVERSITY OF MICHIGAN. | 1976 |
42 | Cripe, J. D. | Arizona State University, Tempe. | 1976 |
43 | Pleticha, Dale Joel | CORNELL UNIVERSITY. | 1976 |
44 | Kennedy, James Richard | UNIVERSITY OF FLORIDA. | 1976 |
45 | Maxwell, T. A. | Utah Univ., Salt Lake City. | 1976 |
46 | Slattery, Wayne Lewis | THE UNIVERSITY OF ARIZONA. | 1976 |
47 | McGuire, Robert Edward | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1976 |
48 | Panek, Robert Joseph | THE UNIVERSITY OF WISCONSIN - MADISON. | 1976 |
49 | Schiffer, Francis Hubert, III | THE UNIVERSITY OF WISCONSIN - MADISON. | 1976 |
50 | Wu, S. S. C. | Arizona Univ., Tucson. | 1976 |
51 | Bettis, Clifford Lee | THE UNIVERSITY OF OKLAHOMA. | 1976 |
