1 | Hemeon-Heyer, Mark C. | UNIVERSITY OF MASSACHUSETTS. | 1986 |
2 | Myra, Eric Stephen | UNIVERSITY OF PENNSYLVANIA. | 1986 |
3 | Shirley, David Noyes | California Univ., Los Angeles. | 1986 |
4 | Spergel, David Nathaniel | HARVARD UNIVERSITY. | 1986 |
5 | White, Raymond Edwin, III | UNIVERSITY OF VIRGINIA. | 1986 |
6 | Wadiak, Edward James | Virginia Univ., Charlottesville. | 1986 |
7 | Arif, Muhammad | UNIVERSITY OF MISSOURI - COLUMBIA. | 1986 |
8 | Preitschopf, Christian Richard | Stanford Linear Accelerator Center, CA. | 1986 |
9 | Rich, Robert Michael | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1986 |
10 | Sowell, James Robert | THE UNIVERSITY OF MICHIGAN. | 1986 |
11 | Takalo, Leo Olavi | THE PENNSYLVANIA STATE UNIVERSITY. | 1986 |
12 | Segelstein, David J. | PRINCETON UNIVERSITY. | 1986 |
13 | Durham, Richard | Rice Univ., Houston, TX. | 1986 |
14 | McMahan, Robert Kenneth, Jr. | DARTMOUTH COLLEGE. | 1986 |
15 | Martin, Donn Christopher | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1986 |
16 | Williams, Mark Andrew | THE UNIVERSITY OF ARIZONA. | 1986 |
17 | Binzel, Richard Peter | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1986 |
18 | McComas, David John | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1986 |
19 | Holcomb, Katherine Ann | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1986 |
20 | Szentgyorgyi, Andrew Harold | THE UNIVERSITY OF WISCONSIN - MADISON. | 1986 |
21 | Lonergan, Patrick Gerard | NEW YORK UNIVERSITY. | 1986 |
22 | Moskowitz, Bruce Evan | STANFORD UNIVERSITY. | 1986 |
23 | Ove, Roger | Yale University. | 1986 |
24 | Bronfman, Aguilo Leonardo | Columbia Univ., New York, NY. | 1986 |
25 | Schenewerk, Mark Steven | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN. | 1986 |
26 | Loewenstein, Michael | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1986 |
27 | Manousoyannaki, Ioanna | THE UNIVERSITY OF OKLAHOMA. | 1986 |
28 | Bradas, James Clark | UNIVERSITY OF ALABAMA IN HUNTSVILLE. | 1986 |
29 | Engelke, Charles William | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1986 |
30 | Grabelsky, David Andrew | COLUMBIA UNIVERSITY. | 1986 |
31 | Hakkila, Jon Eric | NEW MEXICO STATE UNIVERSITY. | 1986 |
32 | Shia, Run-Lie | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1986 |
33 | Woods, Douglas Tod | UNIVERSITY OF COLORADO AT BOULDER. | 1986 |
34 | Zheng, Wei | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1986 |
35 | Hindsley, Robert B. | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1986 |
36 | Hua, Xin-Min | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1986 |
37 | Matz, Steven Michael | UNIVERSITY OF NEW HAMPSHIRE. | 1986 |
38 | Statler, Thomas Stuart | Princeton Univ., NJ. | 1986 |
39 | Mead, Kathryn N. | RENSSELAER POLYTECHNIC INSTITUTE. | 1986 |
40 | Lee, Haeshim | UNIVERSITY OF PENNSYLVANIA. | 1986 |
41 | Madejski, Grzegorz Maria | HARVARD UNIVERSITY. | 1986 |
