1 | Williamson, Jacob | Ohio University | 2017 |
2 | Post, Seth Aaron | The University of Texas at Arlington | 2017 |
3 | Moore, Christopher Samuel | University of Colorado at Boulder | 2017 |
4 | Bradshaw, Andrew Kenneth | University of California, Davis | 2017 |
5 | Binder, Gary | University of California, Berkeley | 2017 |
6 | Schilling, Amanda | University of Arkansas | 2017 |
7 | Weerathunga, Thilina Shihan | The University of Texas at San Antonio | 2017 |
8 | Ni, Peng | University of Michigan | 2017 |
9 | Watson, Andrew William | Temple University | 2017 |
10 | Truitt, Amanda R. | Arizona State University | 2017 |
11 | O'Connell, Julia E. | Texas Christian University | 2017 |
12 | French, Katheryn Decker | The University of Arizona | 2017 |
13 | Grannan, Alexander Michael | University of California, Los Angeles | 2017 |
14 | Hampel-Arias, Zigfried | The University of Wisconsin - Madison | 2017 |
15 | Ludovici, Dominic Alesio | The University of Iowa | 2017 |
16 | Bae, Jaehan | University of Michigan | 2017 |
17 | Wachter, Jeremy M. | Tufts University | 2017 |
18 | Rehnberg, Morgan | University of Colorado at Boulder | 2017 |
19 | Ayala Solares, Hugo Alberto | Michigan Technological University | 2017 |
20 | Jero, Kyle Zachary | The University of Wisconsin - Madison | 2017 |
21 | Dasadia, Sarthak | The University of Alabama in Huntsville | 2017 |
22 | Guth, Tina | New Mexico Institute of Mining and Technology | 2017 |
23 | Betancourt-Martinez, Gabriele | University of Maryland, College Park | 2017 |
24 | Denes Couto, Jullianna | The Catholic University of America | 2017 |
25 | Schenck, Andrew Corey | The University of Texas at Arlington | 2017 |
26 | Hoadley, Keri | University of Colorado at Boulder | 2017 |
27 | Rickert, Matthew | Northwestern University | 2017 |
28 | Roy, Arpita | Penn State University | 2017 |
29 | Kaplan, Kyle Franklin | The University of Texas at Austin | 2017 |
30 | Ballouz, Ronald | University of Maryland, College Park | 2017 |
31 | Kounkel, Marina | University of Michigan | 2017 |
32 | Pauly, Tyler Andrew | Cornell University | 2017 |
33 | Popkow, Alexis G. | University of California, Los Angeles | 2017 |
34 | Ekanayake, Gemunu | University of Kentucky | 2017 |
35 | Jensen-Clem, Rebecca Marie | California Institute of Technology | 2017 |
36 | Villadsen, Jacqueline Rose | California Institute of Technology | 2017 |
37 | Godfrey, Paige | City University of New York Graduate Center | 2017 |
38 | Ford, John M. | Nova Southeastern University | 2017 |
39 | Munson, Charles D. | University of Michigan | 2017 |
40 | Oklopi'c, Antonija | California Institute of Technology | 2017 |
41 | Okada da Silva, Hector | The University of Mississippi | 2017 |
42 | Rajan, Abhijith | Arizona State University | 2017 |
43 | Lake, Sean Earl | University of California, Los Angeles | 2017 |
44 | Utomo, Dyas | University of California, Berkeley | 2017 |
45 | Veale, Melanie R. | University of California, Berkeley | 2017 |
46 | Hoq, Sadia | Boston University | 2017 |
47 | Rosero Rueda, Viviana Andrea | New Mexico Institute of Mining and Technology | 2017 |
48 | Kheirandish, Ali | The University of Wisconsin - Madison | 2017 |
49 | Coughlin, Michael William | Harvard University | 2017 |
50 | Nagarajan, Satyakumar | The Ohio State University | 2017 |
51 | Douglass, Kelly Ann | Drexel University | 2017 |
52 | Negar, Heidarian | The University of Toledo | 2017 |
53 | Ford, Alexander L. | University of Kansas | 2017 |
54 | Brorby, Matthew G. | The University of Iowa | 2017 |
55 | Greenberg, Adam Hodge | University of California, Los Angeles | 2017 |
56 | Su, Ting | The Johns Hopkins University | 2017 |
57 | Weiner, Ori Michael | Columbia University | 2017 |
58 | Florian, Michael Kenneth | The University of Chicago | 2017 |
59 | Fuller, Lindsay | The University of Texas at San Antonio | 2017 |
60 | Ryan, Geoffrey | New York University | 2017 |
61 | Markert, Sean | New Mexico State University | 2017 |
62 | Roberts, Shawn R. | University of Massachusetts Amherst | 2017 |
63 | Druszkiewicz, Eryk Filip | University of Rochester | 2017 |
64 | Yamamoto, Takahiro | The University of Utah | 2017 |
65 | Gong, Munan | Princeton University | 2017 |
66 | Kleer, Katherine Rebecca de | University of California, Berkeley | 2017 |
67 | Anderson, Christopher | The University of Wisconsin - Madison | 2017 |
68 | Brooks, Jared C. | University of California, Santa Barbara | 2017 |
69 | Huber, Jeremy | University of Kentucky | 2017 |
70 | Mitchell, Julie | Arizona State University | 2017 |
71 | Araujo, Derek C. | Columbia University | 2017 |
72 | Santos, Alison R. | The University of New Mexico | 2017 |
73 | Kiminki, Megan Michelle | The University of Arizona | 2017 |
74 | McCord, Krista | The University of Alabama | 2017 |
75 | Moloney, Joshua | University of Colorado at Boulder | 2017 |
76 | Beroiz, Martin | The University of Texas at San Antonio | 2017 |
77 | McEvoy, Erica L. | The University of Arizona | 2017 |
78 | Schroeder, James William Ryan | The University of Iowa | 2017 |
79 | Freeman, William Robert | University of California, Riverside | 2017 |
80 | Loyd, R. O. Parke | University of Colorado at Boulder | 2017 |
81 | Kwa, Anna | University of California, Irvine | 2017 |
82 | Sheffield, David G. | Rutgers The State University of New Jersey - New Brunswick | 2017 |
83 | Archer, Gregory J. | University of Maryland, College Park | 2017 |
84 | Flynn, William F. | Rutgers The State University of New Jersey - New Brunswick | 2017 |
85 | Schmitt, Joseph R. | Yale University | 2017 |
86 | Ferradas, Cristian P. | University of New Hampshire | 2017 |
87 | Marsan, Zehra Cemile | Tufts University | 2017 |
88 | Sallum, Stephanie Elise | The University of Arizona | 2017 |
89 | Tian, James Y. | University of California, San Diego | 2017 |
90 | Hirsch, Michael | Boston University | 2017 |
91 | Esplin, Taran | The Pennsylvania State University | 2017 |
92 | Zhu, Wei | The Ohio State University | 2017 |
93 | Clark, Susan E. | Columbia University | 2017 |
94 | Goodson, Matthew David | The University of North Carolina at Chapel Hill | 2017 |
95 | Dingatantrige Perera, Jude Viranga | Arizona State University | 2017 |
96 | Cosentino, Richard G. | New Mexico Institute of Mining and Technology | 2017 |
