1 | Zilic, Kyle Thomas | University of Minnesota | 2014 |
2 | Beaton, Rachael L. | University of Virginia | 2014 |
3 | Wielicki, Matthew | University of California, Los Angeles | 2014 |
4 | Wood, Michael Patrick | The University of Wisconsin - Madison | 2014 |
5 | Weber, Maria Ann | Colorado State University | 2014 |
6 | Hull, Charles L. H. | University of California, Berkeley | 2014 |
7 | Sierra, Amber Denise | University of Arkansas at Little Rock | 2014 |
8 | Smith, Frank C. | University of Delaware | 2014 |
9 | Steinbach, Bryan | University of California, Berkeley | 2014 |
10 | Brink, Thomas Gentry | University of Michigan | 2014 |
11 | Simones, Jacob E. | University of Minnesota | 2014 |
12 | Buckner, Matthew Quinn | The University of North Carolina at Chapel Hill | 2014 |
13 | Hofer, Thomas James | University of Minnesota | 2014 |
14 | Clevy, June Renee | University of Idaho | 2014 |
15 | Buckley, Robert G. | The University of Texas at San Antonio | 2014 |
16 | Addison, Eric | Utah State University | 2014 |
17 | Adams, Matthew Raymond | Montana State University | 2014 |
18 | Hazboun, Jeffrey Shafiq | Utah State University | 2014 |
19 | Beatty, Thomas G. | The Ohio State University | 2014 |
20 | Meadors, Grant David | University of Michigan | 2014 |
21 | Schecter, Michael | University of Minnesota | 2014 |
22 | Boon, Laura Elizabeth | Purdue University | 2014 |
23 | Hull, Charles Lindsay Hopkins | University of California, Berkeley | 2014 |
24 | Mosteiro, Pablo | Princeton University | 2014 |
25 | Merello, Manuel Antonio | University of Texas at Austin | 2014 |
26 | Mak, Rachel Y. C. | Northwestern University | 2014 |
27 | Martinez-Manso, Jesus | University of Florida | 2014 |
28 | Burkart, Joshua | University of California, Berkeley | 2014 |
29 | Privon, G. C. | University of Virginia | 2014 |
30 | Falcon, Ross Edward | University of Texas at Austin | 2014 |
31 | Beky, Bence | Harvard-Smithsonian Center for Astrophysics | 2014 |
32 | Li, Jason G. | Princeton University | 2014 |
33 | van Saders, Jennifer L. | Ohio State University | 2014 |
34 | Wolansky, Natania R. | Harvard University | 2014 |
35 | Powell, Diana K. | Harvard University | 2014 |
36 | Sanders, Nathan Edward | Harvard-Smithsonian Center for Astrophysics | 2014 |
37 | Fong, Wen-fai | Harvard-Smithsonian Center for Astrophysics | 2014 |
38 | Demarais, Nicholas J. | University of Colorado at Boulder | 2014 |
39 | McGahee, Courtney Elizabeth | Clemson University | 2014 |
40 | Zaheer, Saad | University of Pennsylvania | 2014 |
41 | Haynes, Korey | George Mason University | 2014 |
42 | Ellsworth-Bowers, Timothy P. | University of Colorado at Boulder | 2014 |
43 | Wolfe, Spencer A. | West Virginia University | 2014 |
44 | Tendulkar, Shriharsh Prakash | California Institute of Technology | 2014 |
45 | McConville, William Francis | University of Maryland, College Park | 2014 |
46 | Cordero, Maria J. | Indiana University | 2014 |
47 | Kobelski, Adam Robert | Montana State University | 2014 |
48 | Dutka, Michael | The Catholic University of America | 2014 |
49 | Donaldson, Jessica K. | University of Maryland, College Park | 2014 |
50 | Swindle, Thomas Ryan | University of Hawai'i at Manoa | 2014 |
51 | Sirbu, Dan | Princeton University | 2014 |
52 | Kercher, Andrew D. | George Mason University | 2014 |
53 | McCourt, Michael Kingsley, Jr. | University of California, Berkeley | 2014 |
54 | Pearson, David William | The University of Maine | 2014 |
55 | Palucis, Marisa Christina | University of California, Berkeley | 2014 |
56 | Russell, Brock Richard | University of Maryland, College Park | 2014 |
57 | Rubin, Douglas Seth | Harvard University | 2014 |
58 | Raymer, Eric John | North Carolina State University | 2014 |
59 | Som, Debopam | University of South Carolina | 2014 |
60 | Geske, Matthew T. | The Pennsylvania State University | 2014 |
61 | Kim, Tae K. | The University of Alabama in Huntsville | 2014 |
62 | Ovanesyan, Zaven | The University of Texas at San Antonio | 2014 |
63 | Gerhardt, David T. | University of Colorado at Boulder | 2014 |
64 | Feng, Chang | University of California, San Diego | 2014 |
