1 | Lee, Brian Charles | THE UNIVERSITY OF MICHIGAN | 1999 |
2 | Marronetti, Pedro | UNIVERSITY OF NOTRE DAME | 1999 |
3 | Pasquali, Lara | THE UNIVERSITY OF IOWA | 1999 |
4 | Sanford, Robert Ellis, Jr. | THE LOUISIANA STATE UNIVERSITY AND AGRICULTURAL AND MECHANICAL COL. | 1999 |
5 | Fisher, Paul | THE LOUISIANA STATE UNIVERSITY AND AGRICULTURAL AND MECHANICAL COL. | 1999 |
6 | Kass, David Michael | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1999 |
7 | Levin, Yuri | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1999 |
8 | Brockway, Jack Wolston, III | WAKE FOREST UNIVERSITY | 1999 |
9 | Mathis, Douglas Frank | ARIZONA STATE UNIVERSITY | 1999 |
10 | Sitar, Robert John | THE UNIVERSITY OF MICHIGAN | 1999 |
11 | Trilling, David Eric | THE UNIVERSITY OF ARIZONA | 1999 |
12 | Link, Robert | INDIANA UNIVERSITY | 1999 |
13 | Bullock, James Steven | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1999 |
14 | Colegrove, Patrick Tod | UNIVERSITY OF NEVADA, RENO | 1999 |
15 | Deiker, Steven W. | THE UNIVERSITY OF WISCONSIN - MADISON | 1999 |
16 | Munrow, Michaeleen Rose | WESLEYAN UNIVERSITY | 1999 |
17 | Denn, Grant Russell | THE UNIVERSITY OF IOWA | 1999 |
18 | Dunn, David Erwin | THE UNIVERSITY OF IOWA | 1999 |
19 | Nicholson, Robert B. A. | University of Montana | 1999 |
20 | Craddock, Robert Anthony | UNIVERSITY OF VIRGINIA | 1999 |
21 | Coker, Robert Francis | THE UNIVERSITY OF ARIZONA | 1999 |
22 | Ghavamian, Parviz | Rice University | 1999 |
23 | Howk, Jay Christopher | THE UNIVERSITY OF WISCONSIN - MADISON | 1999 |
24 | Dolphin, Andrew Eugene | UNIVERSITY OF WASHINGTON | 1999 |
25 | Marsden, David Christopher | UNIVERSITY OF CALIFORNIA, SAN DIEGO | 1999 |
26 | Nishikida, Kaori | THE PENNSYLVANIA STATE UNIVERSITY | 1999 |
27 | Perna, Rosalba | HARVARD UNIVERSITY | 1999 |
28 | Shavers, Mark Randall | TEXAS A&M UNIVERSITY | 1999 |
29 | Williams, Ted Lee | UNIVERSITY OF GEORGIA | 1999 |
30 | Chen, Pin | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1999 |
31 | Kim, Hee-Jeong | RICE UNIVERSITY | 1999 |
32 | Showman, Adam Peter | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1999 |
33 | Wilson-Hodge, Colleen Anne | UNIVERSITY OF ALABAMA IN HUNTSVILLE | 1999 |
34 | Hashimoto, Yasuhiro | Yale University | 1999 |
35 | Frye, Brenda Louise | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 |
36 | Sugita, Seiji | BROWN UNIVERSITY | 1999 |
37 | Holtmann, Erich Nielsen | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 |
38 | Harbuck, Charles Craig | THE CATHOLIC UNIVERSITY OF AMERICA | 1999 |
39 | Kundu, Arunav | UNIVERSITY OF MARYLAND COLLEGE PARK | 1999 |
40 | Lockitch, Keith H. | THE UNIVERSITY OF WISCONSIN - MILWAUKEE | 1999 |
41 | Gawiser, Eric Joseph | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 |
42 | Jijina, Jasmin | THE UNIVERSITY OF MICHIGAN | 1999 |
43 | Finkbeiner, Douglas Paul | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 |
44 | Orloff, Seth Michael | RICE UNIVERSITY | 1999 |
45 | Brunt, Christopher Michael | UNIVERSITY OF MASSACHUSETTS | 1999 |
46 | Walker, Peter Wykoff, II | RICE UNIVERSITY | 1999 |
47 | Coble, Kimberly Ann | THE UNIVERSITY OF CHICAGO | 1999 |
48 | Fodor, Imola K. | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 |
49 | Glaccum, William Joseph | THE UNIVERSITY OF CHICAGO | 1999 |
50 | Harmon, Robert Olin, II | THE UNIVERSITY OF CHICAGO | 1999 |
51 | Jogee, Shardha | California Institute of Technology | 1999 |
52 | Lenters, Geoffrey T. | UNIVERSITY OF ALABAMA IN HUNTSVILLE | 1999 |
53 | Snook, Kelly Jean | STANFORD UNIVERSITY | 1999 |
54 | Demuth, David M., Jr. | UNIVERSITY OF MINNESOTA | 1999 |
55 | Kim, Matthew Yongsok | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 |
56 | Cazes, John E., Jr. | THE LOUISIANA STATE UNIVERSITY AND AGRICULTURAL AND MECHANICAL COL. | 1999 |
57 | Chabot, Nancy Lynne | THE UNIVERSITY OF ARIZONA | 1999 |
58 | Grier, Jennifer Ann | THE UNIVERSITY OF ARIZONA | 1999 |
59 | Kirkland, Laurel Ellyn | RICE UNIVERSITY | 1999 |
60 | Morrison, Glenn Evan | THE UNIVERSITY OF NEW MEXICO | 1999 |
61 | Grogin, Norman Andrew | HARVARD UNIVERSITY | 1999 |
62 | Han, Sang-In | THE UNIVERSITY OF WISCONSIN - MADISON | 1999 |
63 | Woods, Eric Alan | HARVARD UNIVERSITY | 1999 |
64 | Chae, Kyu-Hyun | UNIVERSITY OF PITTSBURGH | 1999 |
65 | Klumpe, Eric William | THE UNIVERSITY OF TEXAS AT AUSTIN | 1999 |
66 | Chalmers, James Handson | CARLETON UNIVERSITY (CANADA) | 1999 |
